Library name,Module set,Work shift,n_diff_assign,n_assign,n_diff_assign_selected_modules,n_assign_selected_modules,percentage_gap,targets,percentage_n_assign_selected_modules,percentage_n_assign,d_lev_mean,Sequence difference
FDA.03.05,LAB-2,False,15,94,8,28,50.3,3,28.6,16.0,0.55,0.44999999999999996
FDA.03.05,LAB-2,True,16,94,5,28,45.3,3,17.9,17.0,0.5,0.5
FDA.03.06,LAB-1,False,7,76,2,22,34.4,3,9.1,9.2,0.52,0.48
FDA.03.06,LAB-1,True,13,76,5,22,38.9,3,22.7,17.1,0.58,0.42000000000000004
FDA.03.06,LAB-2,False,9,76,3,22,29.7,3,13.6,11.8,0.6,0.4
FDA.03.06,LAB-2,True,8,76,3,22,34.6,3,13.6,10.5,0.68,0.31999999999999995
FDA.03.07,LAB-1,True,18,120,7,36,59.5,3,19.4,15.0,0.41,0.5900000000000001
FDA.03.07,LAB-2,False,17,120,8,36,60.7,3,22.2,14.2,0.4,0.6
FDA.03.07,LAB-2,True,21,120,6,36,66.0,3,16.7,17.5,0.38,0.62
FDA.03.08,LAB-1,False,17,128,7,42,58.6,3,16.7,13.3,0.46,0.54
FDA.03.08,LAB-1,True,19,128,8,42,62.3,3,19.0,14.8,0.48,0.52
FDA.03.08,LAB-2,False,16,128,6,42,60.7,3,14.3,12.5,0.46,0.54
FDA.03.08,LAB-2,True,22,128,5,42,64.2,3,11.9,17.2,0.46,0.54
FDA.03.09,LAB-1,False,11,110,8,36,51.3,3,22.2,10.0,0.48,0.52
FDA.03.09,LAB-1,True,12,110,3,36,52.3,3,8.3,10.9,0.5,0.5
FDA.03.09,LAB-2,False,13,110,8,36,52.9,3,22.2,11.8,0.46,0.54
FDA.03.09,LAB-2,True,12,110,6,36,55.2,3,16.7,10.9,0.44,0.56
FDA.03.10,LAB-1,False,13,85,8,26,40.9,3,30.8,15.3,0.57,0.43000000000000005
FDA.03.10,LAB-1,True,10,85,5,26,40.9,3,19.2,11.8,0.62,0.38
FDA.03.10,LAB-2,False,12,85,5,26,41.4,3,19.2,14.1,0.51,0.49
FDA.03.10,LAB-2,True,9,85,4,26,40.9,3,15.4,10.6,0.59,0.41000000000000003
